"Measure","Year","Ethnicity","Sex","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Anxiety","2016","Indian","All","Low","N/A","24.11","26.33","21.88","-"
"Anxiety","2016","Pakistani","All","Low","N/A","24.02","26.86","21.18","-"
"Anxiety","2016","Bangladeshi","All","Low","N/A","20.5","24.44","16.57","-"
"Anxiety","2016","Chinese","All","Low","N/A","27.71","32.93","22.49","-"
"Anxiety","2016","Asian other","All","Low","N/A","23.3","26.59","20.02","-"
"Anxiety","2016","Black","All","Low","N/A","22.97","24.79","21.14","-"
"Anxiety","2016","Arab","All","Low","N/A","20.52","25.38","15.66","-"
"Anxiety","2016","Other ","All","Low","N/A","23.7","26.62","20.79","-"
"Anxiety","2016","White","All","Very_Low","N/A","40.54","40.9","40.18","-"
"Anxiety","2016","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2016","Mixed","All","Very_Low","N/A","35.01","39.13","30.88","-"
"Anxiety","2016","Indian","All","Very_Low","N/A","38.86","41.23","36.49","-"
"Anxiety","2016","Pakistani","All","Very_Low","N/A","36.72","39.81","33.63","-"
"Anxiety","2016","Bangladeshi","All","Very_Low","N/A","39.32","44.73","33.91","-"
"Anxiety","2016","Chinese","All","Very_Low","N/A","38.3","43.97","32.63","-"
"Anxiety","2016","Asian other","All","Very_Low","N/A","39.26","43.05","35.46","-"
"Anxiety","2016","Black","All","Very_Low","N/A","40.78","42.99","38.57","-"
"Anxiety","2016","Arab","All","Very_Low","N/A","33.85","40.67","27.03","-"
"Anxiety","2016","Other ","All","Very_Low","N/A","39.09","42.51","35.66","-"
"Anxiety","2017","White","All","High","N/A","20.04","20.34","19.75","-"
"Anxiety","2017","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Anxiety","2017","Mixed","All","High","N/A","24.03","27.36","20.69","-"
"Anxiety","2017","Indian","All","High","N/A","19.09","21.04","17.14","-"
"Anxiety","2017","Pakistani","All","High","N/A","19.97","22.47","17.46","-"
"Anxiety","2017","Bangladeshi","All","High","N/A","19.17","22.97","15.37","-"
"Anxiety","2017","Chinese","All","High","N/A","21.01","25.69","16.33","-"
"Anxiety","2017","Asian other","All","High","N/A","17.16","19.96","14.37","-"
"Anxiety","2017","Black","All","High","N/A","20.94","22.74","19.14","-"
"Anxiety","2017","Arab","All","High","N/A","24.23","29.72","18.73","-"
"Anxiety","2017","Other ","All","High","N/A","21.12","24","18.24","-"
"Anxiety","2017","White","All","Medium","N/A","16.31","16.59","16.04","-"
"Anxiety","2017","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Anxiety","2017","Mixed","All","Medium","N/A","17.06","19.93","14.19","-"
"Anxiety","2017","Indian","All","Medium","N/A","20.73","22.82","18.65","-"
"Anxiety","2017","Pakistani","All","Medium","N/A","19.23","22.04","16.41","-"
"Anxiety","2017","Bangladeshi","All","Medium","N/A","20.39","24.31","16.47","-"
"Anxiety","2017","Chinese","All","Medium","N/A","19.59","23.73","15.45","-"
"Anxiety","2017","Asian other","All","Medium","N/A","18.13","21.2","15.06","-"
"Anxiety","2017","Black","All","Medium","N/A","19.39","21.24","17.53","-"
"Anxiety","2017","Arab","All","Medium","N/A","18.36","23.45","13.27","-"
"Anxiety","2017","Other ","All","Medium","N/A","17.44","19.96","14.93","-"
"Anxiety","2017","White","All","Low","N/A","23.15","23.46","22.84","-"
"Anxiety","2017","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Anxiety","2017","Mixed","All","Low","N/A","22.28","25.53","19.04","-"
"Anxiety","2017","Indian","All","Low","N/A","23.38","25.49","21.28","-"
"Anxiety","2017","Pakistani","All","Low","N/A","18.08","20.33","15.82","-"
"Anxiety","2017","Bangladeshi","All","Low","N/A","23.1","27.43","18.76","-"
"Anxiety","2017","Chinese","All","Low","N/A","25","30","20.01","-"
"Anxiety","2017","Asian other","All","Low","N/A","23.84","27.28","20.41","-"
"Anxiety","2017","Black","All","Low","N/A","21.05","22.84","19.26","-"
"Anxiety","2017","Arab","All","Low","N/A","24.5","29.86","19.14","-"
"Anxiety","2017","Other ","All","Low","N/A","24.8","27.86","21.74","-"
"Anxiety","2017","White","All","Very_Low","N/A","40.49","40.85","40.13","-"
"Anxiety","2017","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2017","Mixed","All","Very_Low","N/A","36.63","40.54","32.72","-"
"Anxiety","2017","Indian","All","Very_Low","N/A","36.79","39.27","34.31","-"
"Anxiety","2017","Pakistani","All","Very_Low","N/A","42.73","46.08","39.38","-"
"Anxiety","2017","Bangladeshi","All","Very_Low","N/A","37.35","43.21","31.49","-"
"Anxiety","2017","Chinese","All","Very_Low","N/A","34.4","39.42","29.37","-"
"Anxiety","2017","Asian other","All","Very_Low","N/A","40.86","44.8","36.92","-"
"Anxiety","2017","Black","All","Very_Low","N/A","38.62","40.86","36.38","-"
"Anxiety","2017","Arab","All","Very_Low","N/A","32.91","39.43","26.39","-"
"Anxiety","2017","Other ","All","Very_Low","N/A","36.64","40.16","33.12","-"
"Anxiety","2018","White","All","High","N/A","19.73","20.02","19.43","-"
